Country,Number of Paragraphs,Frequent Words,Frequent Word Count,Word Count,Polarity,Subjectivity,war,poverty,corruption,insecurity,crime,art,tourism
Angola,139,"angola,portuguese,angolan,luanda,government,mpla,national,also,oil,country","116,53,46,27,25,24,24,24,22,21",10047,0.054,0.355,58,3,11,0,3,141,3
Benin,86,"benin,country,dahomey,african,french,west,government,benins,national,research","85,22,20,20,19,19,18,15,14,14",5513,0.048,0.298,12,4,2,0,2,103,4
Botswana,84,"botswana,africa,country,government,botswanas,south,people,african,one,national","140,37,32,23,22,21,21,21,18,18",7173,0.065,0.350,15,3,4,0,0,92,12
Burkina Faso,162,"burkina,faso,country,french,national,government,president,food,ouagadougou,also","136,105,46,42,39,36,35,32,30,30",10998,0.062,0.333,19,3,3,11,5,142,2
Burundi,113,"burundi,hutu,burundis,government,tutsi,burundian,president,national,african,country","101,46,40,39,34,29,26,24,21,20",7723,0.053,0.313,44,3,2,0,6,137,2
Cameroon,106,"cameroon,national,cameroons,government,republic,region,since,people,southern,north","116,28,27,24,21,21,19,18,18,17",7195,0.058,0.331,26,3,16,1,0,101,2
Cape Verde,140,"cape,verde,islands,verdean,portuguese,century,country,one,island,first","184,119,47,38,35,28,24,23,22,21",7469,0.107,0.370,14,2,1,0,5,102,10
Central African Republic,92,"african,central,republic,country,government,french,president,countrys,also,bangui","83,79,64,44,33,30,21,18,18,15",6222,0.024,0.278,26,1,1,0,2,91,1
Chad,82,"chad,chadian,chads,national,president,country,dby,french,population,south","89,30,29,26,22,21,19,18,17,15",6298,0.062,0.350,37,14,6,0,5,98,1
Comoros,82,"comoros,islands,french,mayotte,president,france,population,union,also,african","82,61,30,27,27,25,20,18,18,16",6135,0.063,0.315,8,9,1,0,1,82,3
Congo (Brazzaville),54,"congo,republic,sassou,government,french,country,first,president,became,brazzaville","59,31,20,19,14,13,13,12,12,12",3456,0.049,0.282,16,2,1,0,0,81,1
Congo (Kinshasa),148,"congo,drc,country,republic,congolese,democratic,also,national,river,mobutu","152,65,65,61,49,40,34,33,31,31",11990,0.057,0.367,75,3,18,0,8,144,1
Côte d'Ivoire,88,"coast,ivory,french,african,west,country,africa,population,government,ivorian","85,84,81,38,35,32,26,23,23,21",7736,0.063,0.326,44,6,3,0,4,87,2
Djibouti,124,"djibouti,french,also,somali,government,ethiopia,country,djiboutian,djiboutis,adal","108,53,51,30,28,26,25,25,22,21",10522,0.068,0.322,30,0,1,0,0,150,8
Egypt,168,"egypt,egyptian,egypts,government,new,country,world,arab,years,egyptians","193,115,46,43,37,33,33,32,31,31",13497,0.065,0.348,62,1,7,0,1,166,22
Equatorial Guinea,90,"equatorial,guinea,country,spanish,also,bioko,spain,obiang,fernando,island","84,77,37,32,27,25,23,23,20,20",7448,0.050,0.318,16,1,5,0,1,96,3
Eritrea,149,"eritrea,eritrean,first,italian,government,country,ethiopian,asmara,years,national","171,82,35,34,29,28,28,27,26,26",10429,0.058,0.313,67,0,0,0,2,149,14
Eswatini (formerly Swaziland),1,"page,eswatini,formerly,swaziland,exist,create,draft,submit,review,request","1,1,1,1,1,1,1,1,1,1",40,0.000,0.000,2,0,0,0,0,2,0
Ethiopia,157,"ethiopia,ethiopian,country,years,also,first,one,government,federal,africa","170,96,38,34,34,29,27,27,26,26",13238,0.072,0.350,83,9,3,0,5,166,1
Gabon,81,"gabon,national,bongo,president,government,gabonese,political,population,opposition,french","57,30,29,29,23,20,19,18,16,15",5053,0.051,0.313,7,1,2,0,0,89,2
Gambia,104,"gambia,jammeh,also,president,national,british,country,gambian,river,trade","125,29,29,26,24,24,23,22,19,18",6913,0.062,0.314,32,2,1,0,0,133,10
Ghana,88,"ghana,african,ghanaian,country,africa,gold,president,government,world,coast","153,31,31,28,28,27,21,20,20,19",7727,0.068,0.335,16,5,9,0,5,112,10
